"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.988105542E0,-1.662774086E-2,2.891142258E-1,4.769924641E-2,2.934940126E-1
1.998159542E0,-4.273140631E-3,2.779817119E-1,5.472935379E-2,2.833503027E-1
2.008214542E0,1.911115841E-2,2.749972199E-1,5.801841259E-2,2.816999175E-1
2.018269542E0,5.105439245E-2,2.759337611E-1,4.693560004E-2,2.845152757E-1
2.028323542E0,8.522226364E-2,2.845281814E-1,4.199002504E-2,2.999704693E-1
2.038378542E0,9.897195471E-2,2.788769571E-1,6.174308896E-2,3.022912736E-1
2.048433542E0,8.738470104E-2,2.859392973E-1,4.302615166E-2,3.020738609E-1
2.058487542E0,6.744716660E-2,3.035981078E-1,4.347112477E-2,3.140233591E-1
2.068542542E0,4.732144775E-2,2.945936516E-1,4.496158004E-2,3.017387655E-1
2.078597542E0,4.228796352E-2,2.660714818E-1,5.767985880E-2,2.755163723E-1
2.088651542E0,5.135747465E-2,2.534346620E-1,6.381183386E-2,2.663431401E-1
2.098706542E0,4.272215126E-2,2.524425174E-1,4.988552034E-2,2.608466445E-1
2.108761542E0,3.968050277E-2,2.443757170E-1,5.571928740E-2,2.537689350E-1
2.118815542E0,5.941336638E-2,2.331535215E-1,5.241970360E-2,2.462485289E-1
2.128870542E0,4.712103444E-2,2.560176147E-1,4.672510028E-2,2.644780632E-1
2.138925542E0,1.425989717E-2,2.877644691E-1,4.432189465E-2,2.915067147E-1
2.148979542E0,2.447240649E-2,2.862660105E-1,4.207013190E-2,2.903739372E-1
2.159034542E0,4.127873867E-2,2.812131208E-1,5.359265506E-2,2.892350709E-1
2.169089542E0,4.558991361E-2,2.939628466E-1,5.238929808E-2,3.020550181E-1
2.179143542E0,6.713235342E-2,2.931136116E-1,5.193496943E-2,3.051550151E-1
2.189198542E0,9.286778133E-2,2.698078526E-1,5.177943349E-2,2.900031239E-1
2.199253542E0,8.600950900E-2,2.457484240E-1,6.030642807E-2,2.672579069E-1
2.209307542E0,4.889466397E-2,2.499845490E-1,4.847751081E-2,2.592933319E-1
2.219362542E0,5.582144922E-3,2.543348043E-1,4.652571023E-2,2.586155346E-1
2.229417542E0,-2.939684472E-2,2.475199476E-1,4.292791843E-2,2.529290515E-1
2.239471542E0,-4.136877665E-2,2.513807727E-1,6.328149140E-2,2.625037442E-1
2.249526542E0,-3.800529832E-2,2.646446515E-1,4.082350552E-2,2.704584125E-1
2.259581542E0,7.078284382E-4,2.640408534E-1,3.782329917E-2,2.667370901E-1
2.269635542E0,3.551808008E-2,2.647846558E-1,4.784893513E-2,2.714073848E-1
2.279690542E0,7.272735765E-2,2.777913119E-1,5.757402420E-2,2.928686562E-1
2.289745542E0,9.883100026E-2,2.915150377E-1,5.158238232E-2,3.121046715E-1
2.299799542E0,1.053755512E-1,3.041074186E-1,4.933295846E-2,3.256056966E-1
2.309854542E0,1.037340459E-1,2.961365490E-1,4.229349554E-2,3.166170364E-1
2.319909542E0,8.388517901E-2,3.000643796E-1,5.052111268E-2,3.156386193E-1
2.329964542E0,5.775682278E-2,2.961181669E-1,4.348106503E-2,3.048153906E-1
2.340018542E0,3.322112475E-2,2.695090964E-1,4.138366878E-2,2.746841900E-1
2.350073542E0,2.959563634E-2,2.401582117E-1,5.679751396E-2,2.485514553E-1
